Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,Gemiddelde beweging (km)
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",344.315776023507
11-а окрема десантно-штурмова бригада /// 11th Separate Assault Brigade ,,,,"48.5715554, 37.9302115","48.5715554, 37.9302115","48.5715554, 37.9302115","51.2618528, 35.5836965",343.38418230794946
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329",329.1758130202379
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",329.1758130202379
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469","48.0464243, 37.7984469",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","46.7220121, 33.2306913","46.7220121, 33.2306913","48.0464243, 37.7984469",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",,,,,329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",,,,,329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","47.7043447, 36.6784228",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","46.7220121, 33.2306913","47.7043447, 36.6784228",329.0010593694026
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.705179, 37.9922329",328.61688787088025
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.705179, 37.9922329","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",328.61688787088025
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,326.1804958545589
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","47.7348026, 37.2737004","47.7348026, 37.2737004",,,,,326.1804958545589
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,326.1804958545589
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","46.7220121, 33.2306913","46.7220121, 33.2306913",,,,,326.1804958545589
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","47.7348026, 37.2737004","47.7348026, 37.2737004","46.7220121, 33.2306913",,,,,326.1804958545589
"шойгісти ""шторм-z"" /// shoigists ""storm-z""
","46.7220121, 33.2306913","46.7220121, 33.2306913","47.7348026, 37.2737004",,,,,326.1804958545589
200-та окрема мотострілецька бригада /// 200th Separate Motor Rifle Brigade ,,,,"48.6286982, 37.9561431","48.6286982, 37.9561431","48.6286982, 37.9561431","51.2513237, 36.2682932",315.8486446438471
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"47.7043447, 36.6784228","48.705179, 37.9922329","46.7220121, 33.2306913","48.0464243, 37.7984469",314.2452678646559
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","48.705179, 37.9922329","47.7043447, 36.6784228",314.2452678646559
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"48.0464243, 37.7984469","46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913",313.6863427152982
"шойгісти ""шторм-z"" /// shoigists ""storm-z"" ",,,,"46.7220121, 33.2306913","47.7043447, 36.6784228","46.7220121, 33.2306913","48.0464243, 37.7984469",313.6863427152982
