Militaire eenheid,2024-01-01,2024-02-01,2024-03-01,2024-04-02,2024-05-02,2024-06-01,2024-07-01,2024-08-01,2024-09-01
336th Separate Brigade of Marines,,,,"47.6606408, 36.5701302","47.6606408, 36.5701302","47.6606408, 36.5701302","47.6606408, 36.5701302","47.6606408, 36.5701302","47.6606408, 36.5701302"
34th Separate Motorized Rifle Brigade,,,,"47.7442529, 36.7053218","47.7442529, 36.7053218","47.7442529, 36.7053218","47.7403281, 36.7956155","47.7403281, 36.7956155","47.7403281, 36.7956155"
345th Airborne Assault Regiment,,,,"46.7388245, 33.2057353","46.7388245, 33.2057353","46.7388245, 33.2057353","46.7388245, 33.2057353","46.7388245, 33.2057353","46.7388245, 33.2057353"
347th motorized rifle regiment,,,,"49.899065, 38.3002619","49.6528864, 37.9153874","49.6528864, 37.9153874","49.6528864, 37.9153874","49.6528864, 37.9153874","49.6528864, 37.9153874"
35th Separate Guards Motor Rifle Brigade,,,,"48.0953583, 37.6824354","48.2542541, 37.5931687","48.2484246, 37.5966019","48.2484246, 37.5966019","48.2543685, 37.5725694","48.2616827, 37.4702589"
37th Motor Rifle Regiment,"49.0472777, 38.0099625","49.0472777, 38.0099625","49.0472777, 38.0099625","49.0472777, 38.0099625","49.0472777, 38.0099625","49.0472777, 38.0099625","49.0391762, 38.042922","49.0391762, 38.042922","49.0391762, 38.042922"
37th Separate Guards Motor Rifle Brigade,,,,"47.7184232, 36.8131663","47.7184232, 36.8131663","47.7184232, 36.8131663","47.7184232, 36.8131663","47.7498267, 36.8184873","47.7498267, 36.8184873"
38th Separate Motorized Rifle Brigade,"47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","47.5067555, 36.1712351","51.6092075, 35.9118389"
380th Motor Rifle Regiment,,,,"49.3788292, 37.9621507","49.3788292, 37.9621507","50.32811, 36.4867879","50.32811, 36.4867879","50.2785484, 36.4359761","50.2785484, 36.4359761"
385th  Motorized Rifle Regiment,,,,"46.673229, 32.9043816","46.673229, 32.9043816","46.673229, 32.9043816","46.673229, 32.9043816","46.673229, 32.9043816","46.673229, 32.9043816"
385th Artillery Brigade,,,,"48.9155824, 38.3949006","48.9155824, 38.3949006","48.9155824, 38.3949006","48.9155824, 38.3949006","48.9155824, 38.3949006","48.9155824, 38.3949006"
39th Separate Guards Motor Rifle Brigade,,,,"47.8471252, 37.5198894","47.8471252, 37.5198894","47.8471252, 37.5198894","47.8471252, 37.5198894","47.8065578, 37.4265086","47.8065578, 37.4265086"
394th Motorized Rifle Regiment,,,,"47.7479028, 36.7327688","47.7479028, 36.7327688","47.7479028, 36.7327688","47.7479028, 36.7327688","47.7504421, 36.8057249","47.7504421, 36.8057249"
